name_in_NOW_data;name_in_allsides_data;media_bias_rating;accessed;column;url;url_allsides;category
Axios;Axios;Center;from AllSides December 2021;;https://www.axios.com/;https://www.allsides.com/news-source/axios;News Media
Barron's;;Center;Ad Fontes Media Bias Chart 2021;;;;
Business Insider;Business Insider;Center;from supervisor 2019;allsides;;;
Business Insider on MSN.com;Business Insider;Center;from supervisor 2019;allsides;;;
businessinsider.com;Business Insider;Center;from supervisor 2019;allsides;;;
Chicago Tribune;Chicago Tribune;Center;from AllSides December 2021;;http://www.chicagotribune.com/;https://www.allsides.com/news-source/chicago-tribune;News Media
chicagotribune.com;Chicago Tribune;Center;from AllSides December 2021;;http://www.chicagotribune.com/;https://www.allsides.com/news-source/chicago-tribune;News Media
Christian Science Monitor;Christian Science Monitor;Center;from AllSides December 2021;;http://www.csmonitor.com/;https://www.allsides.com/news-source/christian-science-monitor;News Media
cleveland.com;;Center;Ad Fontes Media Bias Chart 2021;;;;
Cleveland.com on MSN.com;;Center;Ad Fontes Media Bias Chart 2021;;;;
CNBC;CNBC;Center;from AllSides December 2021;;http://cnbc.com;https://www.allsides.com/news-source/cnbc;News Media
cnbc.com;CNBC;Center;from AllSides December 2021;;http://cnbc.com;https://www.allsides.com/news-source/cnbc;News Media
CNET;CNET;Center;from AllSides December 2021;;http://www.cnet.com;https://www.allsides.com/news-source/cnet;News Media
Des Moines Register;The Des Moines Register;Center;from supervisor 2019;media_bias;https://www.allsides.com/news-source/desmoines-register;;News Media
Detroit News;Detroit News;Center;from AllSides December 2021;;http://www.detroitnews.com/;https://www.allsides.com/news-source/detroit-news;News Media
euronews.com;Euronews;Center;from supervisor 2019;media_bias;;;
Forbes;Forbes;Center;from AllSides December 2021;;http://www.forbes.com/;https://www.allsides.com/news-source/forbes;News Media
Foreign Policy;Foreign Policy;Center;from AllSides December 2021;;;https://www.allsides.com/news-source/foreign-policy-media-bias;News Media
Houston Chronicle;Houston Chronicle;Center;from AllSides December 2021;;https://www.houstonchronicle.com/;https://www.allsides.com/news-source/houston-chronicle-media-bias;News Media
Houston Chronicle on MSN.com;Houston Chronicle;Center;from AllSides December 2021;;https://www.houstonchronicle.com/;https://www.allsides.com/news-source/houston-chronicle-media-bias;News Media
International Business Times;International Business Times;Center;from AllSides December 2021;;http://www.ibtimes.com/;https://www.allsides.com/news-source/international-business-times;News Media
jpost.com;The Jerusalem Post;Center;from AllSides December 2021;;;https://www.allsides.com/news-source/jerusalem-post-media-bias;News Media
MarketWatch on MSN.com;MarketWatch;Center;from AllSides December 2021;;https://www.marketwatch.com/;https://www.allsides.com/news-source/marketwatch-media-bias;News Media
marketwatch.com;MarketWatch;Center;from AllSides December 2021;;https://www.marketwatch.com/;https://www.allsides.com/news-source/marketwatch-media-bias;News Media
MassLive;;Center;Ad Fontes Media Bias Chart 2021;;;;
Military.com;Military.com;Center;from supervisor 2019;media_bias;;;
My San Antonio;;Center;Ad Fontes Media Bias Chart 2021;;;;
NJ.com;;Center;Ad Fontes Media Bias Chart 2021;;;;
NJ.com on MSN.com;;Center;Ad Fontes Media Bias Chart 2021;;;;
nola.com;;Center;Ad Fontes Media Bias Chart 2021;;;;
NPR;NPR (Online News);Center;from AllSides December 2021;;http://www.npr.org/;https://www.allsides.com/news-source/npr-media-bias;News Media
npr.org;NPR (Online News);Center;from AllSides December 2021;;http://www.npr.org/;https://www.allsides.com/news-source/npr-media-bias;News Media
Patch;Patch.com;Center;from AllSides December 2021;;https://patch.com/;https://www.allsides.com/news-source/patchcom-media-bias;News Media
PBS;PBS NewsHour;Center;from AllSides December 2021;;http://www.pbs.org/newshour/;https://www.allsides.com/news-source/pbs-newshour;News Media
pbs.org;PBS NewsHour;Center;from AllSides December 2021;;http://www.pbs.org/newshour/;https://www.allsides.com/news-source/pbs-newshour;News Media
postandcourier.com;The Post and Courier;Center;from supervisor 2019;media_bias;;;
PR Newswire;PR Newswire;Center;from supervisor 2019;media_bias;;;
pressherald.com;Portland Press Herald;Center;from AllSides December 2021;;http://www.pressherald.com/;https://www.allsides.com/news-source/portland-press-herarld;News Media
Psychology Today;Psychology Today;Center;from AllSides December 2021;;;https://www.allsides.com/news-source/psychology-today-media-bias;News Media
qz.com;Quartz;Center;from AllSides December 2021;;http://qz.com/;https://www.allsides.com/news-source/quartz;News Media
RealClearPolitics;RealClearPolitics;Center;from AllSides December 2021;;http://www.realclearpolitics.com/;https://www.allsides.com/news-source/real-clear-politics;News Media
stltoday.com;St. Louis Post-Dispatch;Center;from AllSides December 2021;;https://www.stltoday.com/;https://www.allsides.com/news-source/st-louis-post-dispatch-media-bias;News Media
Tampa Bay Times;Tampa Bay Times;Center;from AllSides December 2021;;https://www.tampabay.com/;https://www.allsides.com/news-source/tampa-bay-times-media-bias;News Media
Tennessean;The Tennesseean;Center;from AllSides December 2021;;https://www.tennessean.com/;https://www.allsides.com/news-source/tennesseean-media-bias;News Media
The Hill;The Hill;Center;from AllSides December 2021;;https://www.thehill.com;https://www.allsides.com/news-source/hill-media-bias;News Media
The Hill on MSN.com;The Hill;Center;from AllSides December 2021;;https://www.thehill.com;https://www.allsides.com/news-source/hill-media-bias;News Media
thehill.com;The Hill;Center;from AllSides December 2021;;https://www.thehill.com;https://www.allsides.com/news-source/hill-media-bias;News Media
Times Union;Times Union;Center;from AllSides December 2021;;https://www.timesunion.com/;https://www.allsides.com/news-source/times-union-media-bias;News Media
twincities.com;;Center;Ad Fontes Media Bias Chart 2021;;;;
Variety;Variety;Center;from AllSides December 2021;;https://variety.com/;https://www.allsides.com/news-source/variety-media-bias;News Media
Variety on MSN.com;Variety;Center;from AllSides December 2021;;https://variety.com/;https://www.allsides.com/news-source/variety-media-bias;News Media
Voice of America;Voice of America;Center;from AllSides December 2021;;http://voanews.com;https://www.allsides.com/news-source/voice-america;News Media
Wall Street Journal;Wall Street Journal (News);Center;from AllSides December 2021;;http://online.wsj.com/;https://www.allsides.com/news-source/wall-street-journal-media-bias;News Media
wired.com;Wired;Center;from AllSides December 2021;;https://www.wired.com/;https://www.allsides.com/news-source/wired;News Media
ABC;ABC News (Online);Lean Left;from AllSides December 2021;;http://abcnews.go.com/;https://www.allsides.com/news-source/abc-news-media-bias;News Media
abcnews.go.com;ABC News (Online);Lean Left;from AllSides December 2021;;http://abcnews.go.com/;https://www.allsides.com/news-source/abc-news-media-bias;News Media
Al Jazeera English;Al Jazeera;Lean Left;from AllSides December 2021;;https://www.aljazeera.com/;https://www.allsides.com/news-source/al-jazeera-media-bias;News Media
Atlanta Journal-Constitution;Atlanta Journal-Constitution;Lean Left;from AllSides December 2021;;http://www.ajc.com/;https://www.allsides.com/news-source/atlanta-journal-constitution;News Media
Austin American-Statesman;Austin American-Statesman;Lean Left;from AllSides December 2021;;http://www.mystatesman.com/;https://www.allsides.com/news-source/austin-american-statesman;News Media
baltimoresun.com;Baltimore Sun;Lean Left;from supervisor 2019;media_bias;;;
Bloomberg on MSN.com;Bloomberg;Lean Left;from AllSides December 2021;;http://www.bloomberg.com/;https://www.allsides.com/news-source/bloomberg-media-bias;News Media
bostonglobe.com;Boston Globe;Lean Left;from supervisor 2019;media_bias;;;
Buffalo News;Buffalo News;Lean Left;from supervisor 2019;media_bias;;;
CBS News;CBS News (Online);Lean Left;from AllSides December 2021;;http://www.cbsnews.com/;https://www.allsides.com/news-source/cbs-news-media-bias;News Media
cbsnews.com;CBS News (Online);Lean Left;from AllSides December 2021;;http://www.cbsnews.com/;https://www.allsides.com/news-source/cbs-news-media-bias;News Media
Center for American Progress;Center For American Progress;Lean Left;from AllSides December 2021;;http://www.americanprogress.org;https://www.allsides.com/news-source/center-american-progress;Think Tank / Policy Group
chicago.suntimes.com;Chicago Sun-Times;Lean Left;from AllSides December 2021;;http://chicago.suntimes.com/;https://www.allsides.com/news-source/chicago-sun-times;News Media
Complex;;Lean Left;Ad Fontes Media Bias Chart 2021;;;;
courant.com;The Hartford Courant;Lean Left;from supervisor 2019;media_bias;;;
Deadline.com;Deadline Hollywood;Lean Left;from supervisor 2019;media_bias;;;
Deadline.com on MSN.com;Deadline Hollywood;Lean Left;from supervisor 2019;media_bias;;;
denverpost.com;Denver Post;Lean Left;from supervisor 2019;media_bias;;;
Detroit Free Press;Detroit Free Press;Lean Left;from AllSides December 2021;;http://www.freep.com/;https://www.allsides.com/news-source/detroit-free-press;News Media
freep.com;Detroit Free Press;Lean Left;from AllSides December 2021;;http://www.freep.com/;https://www.allsides.com/news-source/detroit-free-press;News Media
Gizmodo;Gizmodo;Lean Left;from AllSides December 2021;;http://gizmodo.com;https://www.allsides.com/news-source/gizmodo;News Media
gizmodo.com;Gizmodo;Lean Left;from AllSides December 2021;;http://gizmodo.com;https://www.allsides.com/news-source/gizmodo;News Media
Hollywood Life;;Lean Left;Ad Fontes Media Bias Chart 2021;;;;
Indianapolis Star;Indianapolis Star;Lean Left;from supervisor 2019;media_bias;;;
irishtimes.com;The Irish Times;Lean Left;from supervisor 2019;media_bias;;;
latimes.com;LA Times (Los Angeles Times);Lean Left;from supervisor 2019;media_bias;;;
Mediaite;Mediaite;Lean Left;from AllSides December 2021;;http://www.mediaite.com/;https://www.allsides.com/news-source/mediaite-bias;News Media
Mercury News;San Jose Mercury News;Lean Left;from AllSides December 2021;;http://www.mercurynews.com/;https://www.allsides.com/news-source/san-jose-mercury-news;News Media
mercurynews.com;San Jose Mercury News;Lean Left;from AllSides December 2021;;http://www.mercurynews.com/;https://www.allsides.com/news-source/san-jose-mercury-news;News Media
Milwaukee Journal Sentinel;Milwaukee Journal-Sentinel;Lean Left;from supervisor 2019;media_bias;;;
montrealgazette.com;Montreal Gazette;Lean Left;from supervisor 2019;media_bias;;;
NBC News;NBC News (Online);Lean Left;from AllSides December 2021;;http://www.nbcnews.com;https://www.allsides.com/news-source/nbc-news-media-bias;News Media
New York Times;New York Times (News);Lean Left;from AllSides December 2021;;http://www.nytimes.com/;https://www.allsides.com/news-source/new-york-times;News Media
nytimes.com;New York Times (News);Lean Left;from AllSides December 2021;;http://www.nytimes.com/;https://www.allsides.com/news-source/new-york-times;News Media
People;People Magazine;Lean Left;from supervisor 2019;media_bias;;;
people.com;People Magazine;Lean Left;from supervisor 2019;media_bias;;;
Politico;Politico;Lean Left;from AllSides December 2021;;http://www.politico.com/;https://www.allsides.com/news-source/politico-media-bias;News Media
politico.com;Politico;Lean Left;from AllSides December 2021;;http://www.politico.com/;https://www.allsides.com/news-source/politico-media-bias;News Media
ProPublica;ProPublica;Lean Left;from AllSides December 2021;;http://www.propublica.org/;https://www.allsides.com/news-source/propublica;News Media
San Diego Union-Tribune;San Diego Union-Tribune;Lean Left;from AllSides December 2021;;https://www.sandiegouniontribune.com/;https://www.allsides.com/news-source/san-diego-union-tribune-media-bias-0;News Media
seattlepi.com;Seattle Post-Intelligencer;Lean Left;from supervisor 2019;media_bias;;;
SFGate;SFGate;Lean Left;from AllSides December 2021;;http://www.sfgate.com/;https://www.allsides.com/news-source/sf-gate;News Media
sfgate.com;SFGate;Lean Left;from AllSides December 2021;;http://www.sfgate.com/;https://www.allsides.com/news-source/sf-gate;News Media
StarTribune;Star Tribune;Lean Left;from AllSides December 2021;;http://www.startribune.com/;https://www.allsides.com/news-source/star-tribune-media-bias;News Media
Teen Vogue;Teen Vogue;Lean Left;from AllSides December 2021;;http://www.teenvogue.com/;https://www.allsides.com/news-source/teen-vogue;News Media
The Atlantic;The Atlantic;Lean Left;from AllSides December 2021;;http://www.theatlantic.com/;https://www.allsides.com/news-source/atlantic;News Media
The Baltimore Sun;Baltimore Sun;Lean Left;from supervisor 2019;media_bias;;;
The Denver Post;Denver Post;Lean Left;from supervisor 2019;media_bias;;;
The Hollywood Reporter;The Hollywood Reporter;Lean Left;from AllSides December 2021;;https://www.hollywoodreporter.com/;https://www.allsides.com/news-source/hollywood-reporter-media-bias;News Media
The Roanoke Times;Roanoke Times;Lean Left;from supervisor 2019;media_bias;;;
The Root;The Root;Lean Left;from AllSides December 2021;;;https://www.allsides.com/news-source/root;News Media
theatlantic.com;The Atlantic;Lean Left;from AllSides December 2021;;http://www.theatlantic.com/;https://www.allsides.com/news-source/atlantic;News Media
theguardian.com;The Guardian;Lean Left;from AllSides December 2021;;https://www.theguardian.com/us;https://www.allsides.com/news-source/guardian;News Media
theringer.com;The Ringer;Lean Left;from supervisor 2019;media_bias;;;
Time;Time Magazine;Lean Left;from AllSides December 2021;;http://www.time.com/time/;https://www.allsides.com/news-source/time-magazine-news-media-bias;News Media
time.com;Time Magazine;Lean Left;from AllSides December 2021;;http://www.time.com/time/;https://www.allsides.com/news-source/time-magazine-news-media-bias;News Media
timesofisrael.com;Times of Israel;Lean Left;from supervisor 2019;media_bias;;;
TMZ;;Lean Left;Ad Fontes Media Bias Chart 2021;;;;
Uproxx;Uproxx;Lean Left;from supervisor 2019;media_bias;;;
USA Today;USA TODAY;Lean Left;from AllSides December 2021;;https://www.usatoday.com/;https://www.allsides.com/news-source/usa-today-media-bias;News Media
Vulture;Vulture;Lean Left;from supervisor 2019;media_bias;;;
vulture.com;Vulture;Lean Left;from supervisor 2019;media_bias;;;
Washington Post;Washington Post;Lean Left;from AllSides December 2021;;https://www.washingtonpost.com/;https://www.allsides.com/news-source/washington-post-media-bias;News Media
washingtonpost.com;Washington Post;Lean Left;from AllSides December 2021;;https://www.washingtonpost.com/;https://www.allsides.com/news-source/washington-post-media-bias;News Media
YAHOO!;Yahoo News;Lean Left;from AllSides December 2021;;https://www.yahoo.com/;https://www.allsides.com/news-source/yahoo-news-media-bias;News Media
YAHOO! on MSN.com;Yahoo News;Lean Left;from AllSides December 2021;;https://www.yahoo.com/;https://www.allsides.com/news-source/yahoo-news-media-bias;News Media
Boston Herald;Boston Herald;Lean Right;from AllSides December 2021;;;https://www.allsides.com/news-source/boston-herald-media-bias;News Media
Cincinnati Enquirer;Cincinnati Enquirer;Lean Right;from supervisor 2019;media_bias;;;
dailyherald.com;Daily Herald;Lean Right;from supervisor 2019;media_bias;;;
Dallas Morning News;Dallas Morning News;Lean Right;from supervisor 2019;media_bias;;;
dallasnews.com;Dallas Morning News;Lean Right;from supervisor 2019;media_bias;;;
Fox Business;Fox Business;Lean Right;from AllSides December 2021;;https://www.foxbusiness.com/;https://www.allsides.com/news-source/fox-business-media-bias;News Media
Las Vegas Review-Journal;Las Vegas Review-Journal;Lean Right;from supervisor 2019;media_bias;;;
New York Post;New York Post (News);Lean Right;from AllSides December 2021;;http://www.nypost.com/;https://www.allsides.com/news-source/new-york-post;News Media
nypost.com;New York Post (News);Lean Right;from AllSides December 2021;;http://www.nypost.com/;https://www.allsides.com/news-source/new-york-post;News Media
Omaha.com;Omaha World-Herald;Lean Right;from supervisor 2019;media_bias;;;
Oregonian;Oregonian;Lean Right;from supervisor 2019;media_bias;;;
Orlando Sentinel;Orlando Sentinel;Lean Right;from supervisor 2019;media_bias;;;
Reason;Reason;Lean Right;from AllSides December 2021;;http://reason.com/;https://www.allsides.com/news-source/reason;News Media
reviewjournal.com;Las Vegas Review-Journal;Lean Right;from supervisor 2019;media_bias;;;
RT;RT News;Lean Right;from supervisor 2019;media_bias;;;
Sun Sentinel;South Florida Sun-Sentinel;Lean Right;from supervisor 2019;media_bias;;;
The Arizona Republic;Arizona Republic;Lean Right;from supervisor 2019;media_bias;;;
Washington Examiner;Washington Examiner;Lean Right;from AllSides December 2021;;http://washingtonexaminer.com/;https://www.allsides.com/news-source/washington-examiner;News Media
Washington Times;Washington Times;Lean Right;from AllSides December 2021;;http://www.washingtontimes.com/;https://www.allsides.com/news-source/washington-times-bias;News Media
washingtonexaminer.com;Washington Examiner;Lean Right;from AllSides December 2021;;http://washingtonexaminer.com/;https://www.allsides.com/news-source/washington-examiner;News Media
buzzfeednews.com;BuzzFeed News;Left;from AllSides December 2021;;http://buzzfeednews.com;https://www.allsides.com/news-source/buzzfeed-media-bias;News Media
CNN;CNN (Online News);Left;from AllSides December 2021;;http://www.cnn.com;https://www.allsides.com/news-source/cnn-media-bias;News Media
HuffPost;HuffPost;Left;from AllSides December 2021;;https://www.huffpost.com/;https://www.allsides.com/news-source/huffpost-media-bias;News Media
HuffPost on MSN.com;HuffPost;Left;from AllSides December 2021;;https://www.huffpost.com/;https://www.allsides.com/news-source/huffpost-media-bias;News Media
Mashable;Mashable;Left;from AllSides December 2021;;;https://www.allsides.com/news-source/mashable;News Media
Mother Jones;Mother Jones;Left;from AllSides December 2021;;http://www.motherjones.com/;https://www.allsides.com/news-source/mother-jones-bias;News Media
New York Magazine;New York Magazine;Left;from AllSides December 2021;;http://nymag.com/;https://www.allsides.com/news-source/new-york-magazine;News Media
newyorker.com;New Yorker;Left;from supervisor 2019;media_bias;;;
nydailynews.com;New York Daily News;Left;from AllSides December 2021;;http://www.nydailynews.com/;https://www.allsides.com/news-source/new-york-daily-news;News Media
nymag.com;New York Magazine;Left;from AllSides December 2021;;http://nymag.com/;https://www.allsides.com/news-source/new-york-magazine;News Media
Rolling Stone;RollingStone.com;Left;from AllSides December 2021;;http://www.rollingstone.com/;https://www.allsides.com/news-source/rolling-stone;News Media
rollingstone.com;RollingStone.com;Left;from AllSides December 2021;;http://www.rollingstone.com/;https://www.allsides.com/news-source/rolling-stone;News Media
Salon;Salon;Left;from AllSides December 2021;;http://www.salon.com/;https://www.allsides.com/news-source/salon;News Media
San Francisco Chronicle;San Francisco Chronicle;Left;from AllSides December 2021;;;https://www.allsides.com/news-source/san-francisco-chronicle;News Media
sfchronicle.com;San Francisco Chronicle;Left;from AllSides December 2021;;;https://www.allsides.com/news-source/san-francisco-chronicle;News Media
Slate;Slate;Left;from AllSides December 2021;;https://slate.com/;https://www.allsides.com/news-source/slate;News Media
The Boston Globe;The Boston Globe;Left;from AllSides December 2021;;http://www.bostonglobe.com/;https://www.allsides.com/news-source/boston-globe;News Media
The Daily Beast;Daily Beast;Left;from AllSides December 2021;;http://www.thedailybeast.com/;https://www.allsides.com/news-source/daily-beast-media-bias;News Media
The Nation;The Nation;Left;from AllSides December 2021;;http://www.thenation.com;https://www.allsides.com/news-source/nation-media-bias;News Media
The New Yorker;The New Yorker;Left;from AllSides December 2021;;https://www.newyorker.com/;https://www.allsides.com/news-source/new-yorker;News Media
The Raw Story;Raw Story;Left;from AllSides December 2021;;http://www.rawstory.com/;https://www.allsides.com/news-source/raw-story;News Media
Fox News;Fox News (Online News);Right;from AllSides December 2021;;http://www.foxnews.com/;https://www.allsides.com/news-source/fox-news-media-bias;News Media
foxnews.com;Fox News (Online News);Right;from AllSides December 2021;;http://www.foxnews.com/;https://www.allsides.com/news-source/fox-news-media-bias;News Media
ksl.com;KSL;Right;from AllSides December 2021;;http://www.ksl.com/;https://www.allsides.com/news-source/ksl;News Media
LifeSiteNews;Life Site News;Right;from supervisor 2019;media_bias;;;